Tag,Color,Type,Tier,Social Hierarchy,Religion,Cultures,Capital,Is Named From Capital,Valid As Home Country For Separatists,Primary Unit Color,Secondary Unit Color,Tertiary Unit Color
自由州,#82172F,植民地国家,公国,,,バコンゴ,,False,,,,
サハラウィー,#DCCA60,分権型国家,公国,,,ビダン,西サハラ,False,,,,
トゥーグルト,#5A8CBE,非承認国家,公国,,,アマーズィーグ,東サハラ,False,,,,
アイト・アッバス,#FFFF99,非承認国家,公国,,,アマーズィーグ,コンスタンティーヌ,False,,,,
ガザ,#BF9A6C,非承認国家,王国,,,ングニ,ロウレンソ・マルケス,False,,,,
マラビ,#DCDC4B,分権型国家,公国,,,チェワ,カゼンベ,False,,,,
ボルグ,#DAE7EB,非承認国家,公国,,,"マンデ, フルベ",ハウサランド,False,,,,
バムン,#C5C9A3,分権型国家,公国,,スンナ派,赤道バントゥー,北カメルーン,False,,,,
マグレブ,#D13F2C,非承認国家,帝国,,,"マグリブ, アマーズィーグ, ビダン",チュニジア,False,,,,
ウィトゥ,#FFA407,非承認国家,公国,,,スワヒリ,ケニア,False,,,,
モンバサ,#7FB148,非承認国家,公国,,イバード派,スワヒリ,ケニア,True,,,,
アジュラン,#7C805D,分権型国家,公国,,スンナ派,ソマリ,ケニア,False,,,,
アウリハン,#C4E3F0,分権型国家,公国,,スンナ派,ソマリ,ケニア,False,,,,
ミジケンダ,#90219B,分権型国家,公国,,,湖水バントゥー,ケニア,False,,,,
オルマ,#655FBC,分権型国家,公国,,精霊信仰,オロモ,ケニア,False,,,,
サクエ,#7A8382,分権型国家,公国,,精霊信仰,オロモ,ケニア,False,,,,
ウテテラ,#018C50,非承認国家,公国,,イバード派,スワヒリ,東コンゴ,False,,,,
オガデン,#9BBC63,分権型国家,公国,,,ソマリ,オロミア,False,,,,
クワラ,#70A9C7,非承認国家,公国,,,アムハラ,ゴンダール,False,,,,
トゥンギ,#485C0C,非承認国家,公国,,,スワヒリ,モザンビーク,False,,,,
ウォライタ,#D4E636,非承認国家,公国,,東方諸教会,シダマ,アムハラ,False,,,,
ハディヤ,#228059,非承認国家,公国,,スンナ派,オロモ,アムハラ,False,,,,
アルシランド,#FFC5B3,非承認国家,公国,,スンナ派,オロモ,オロミア,False,,,,
アヌアク,#806259,分権型国家,公国,,精霊信仰,羅,アムハラ,False,,,,
オモ,#477980,分権型国家,公国,,精霊信仰,シダマ,アムハラ,False,,,,
スワジランド,#FFD900,非承認国家,公国,,,ングニ,トランスヴァール,False,,,,
ペディ,#ED6B74,分権型国家,公国,,,ソト,トランスヴァール,False,,,,
ヴェンダ,#EB7A53,分権型国家,公国,,,ソト,トランスヴァール,False,,,,
テムネ,#477918,分権型国家,公国,,精霊信仰,キッシ,シエラレオネ,False,,,,
ディオラ,#7B6F6F,分権型国家,公国,,精霊信仰,フルベ,シエラレオネ,False,,,,
アンゴチェ,#FFB400,非承認国家,公国,,,スワヒリ,モザンビーク,False,,,,
ズワイヤ,#DD8550,分権型国家,公国,,,ベドウィン,キレナイカ,False,,,,
ケル・アジェル,#FF69B4,分権型国家,公国,,,トゥアレグ,フェザーン,False,,,,
フェザーン,#E70013,非承認国家,公国,,,マグリブ,フェザーン,False,,,,
キレナイカ,#1E3750,非承認国家,公国,,,マグリブ,キレナイカ,False,,,,
リビア,#528976,非承認国家,王国,,,マグリブ,トリポリ,False,,,,
シャアンバ,#8CAF82,分権型国家,公国,,,ベドウィン,東サハラ,False,,,,
ムザブ,#CB69ED,分権型国家,公国,,イバード派,アマーズィーグ,サハラ,False,,,,
テクナ,#5D409C,分権型国家,公国,,,ビダン,内モロッコ,False,,,,
レグイバート,#E7862B,分権型国家,公国,,,ビダン,西サハラ,False,,,,
デリム,#2BDD9F,分権型国家,公国,,,ビダン,西サハラ,False,,,,
ケル・ディンニク,#8F3738,分権型国家,公国,,,トゥアレグ,ニジェール,False,,,,
ケル・アタラム,#537B28,分権型国家,公国,,,トゥアレグ,ティンブクトゥ,False,,,,
アドラール,#0DA438,分権型国家,公国,,,ビダン,内モーリタニア,False,,,,
ブラクナ,#214078,分権型国家,公国,,,ハラティン,モーリタニア,False,,,,
ハワイ,#30A960,非承認国家,王国,,プロテスタント,ハワイ,ハワイ諸島,True,,,,
ンガーイ・タフ,#3E5C36,分権型国家,公国,,,マオリ,南島,False,,,,
ンガーティ・トア,#94B9BE,分権型国家,公国,,,マオリ,北島,False,,,,
カナック,#BEAD67,分権型国家,公国,,,メラネシア,カナック,False,,,,
パプア,#5161AA,分権型国家,公国,,,メラネシア,東ニューギニア,False,,,,
ハリア,#D2B8DC,分権型国家,公国,,,メラネシア,ブーゲンビル,False,,,,
ビルア,#8CA64B,分権型国家,公国,,,メラネシア,ソロモン諸島,False,,,,
ブルンガン,#8CA64B,非承認国家,公国,,,ボルネオ,東ボルネオ,False,,,,
クタイ,#89583A,非承認国家,公国,,,ボルネオ,東ボルネオ,False,,,,
フィジー,#9FADDB,分権型国家,公国,,,メラネシア,フィジー,False,,,,
サハリン,#3666BE,分権型国家,公国,,,"アイヌ, シベリア",サハリン,False,,,,
ミクロネシア,#F8DA63,分権型国家,公国,,,ミクロネシア,東ミクロネシア,False,,,,
バヌアツ,#25D632,分権型国家,公国,,,メラネシア,バヌアツ,False,,,,
ナウル,#E78311,分権型国家,公国,,,メラネシア,ナウル,False,,,,
タヒチ,#B03E88,非承認国家,公国,,プロテスタント,ポリネシア,タヒチ,False,,,,
アオテアロア,#2F8CBF,非承認国家,王国,,,マオリ,北島,False,,,,
ウルル,#703610,分権型国家,公国,,,アボリジニ,ノーザンテリトリー,False,,,,
ニュー・サウス・ウェールズ,#72A5CB,植民地国家,公国,,,オーストラリア,ニューサウスウェールズ,False,,,,
西オーストラリア,#767361,植民地国家,公国,,,オーストラリア,西オーストラリア,False,,,,
南オーストラリア,#AA5A80,植民地国家,公国,,,オーストラリア,南オーストラリア,False,,,,
部族連合,#AAA797,非承認国家,公国,,プロテスタント,マオリ,北島,False,,,,
ヌーンガル,#D1A06B,分権型国家,公国,,,アボリジニ,西オーストラリア,False,,,,
ガウナ,#F5D486,非承認国家,公国,,,アボリジニ,南オーストラリア,False,,,,
カミラロイ,#5BBF53,分権型国家,公国,,,アボリジニ,ニューサウスウェールズ,False,,,,
オーストラリア,#4D8B6A,植民地国家,王国,,,オーストラリア,ニューサウスウェールズ,False,,,,
ニュージーランド,#5AFA7F,植民地国家,公国,,,オーストラリア,北島,False,,,,
タスマニア,#E0C298,植民地国家,公国,,,オーストラリア,ヴィクトリア,False,,,,
東インド諸島,#145050,植民地国家,公国,,,オランダ,西ジャワ,False,,,,
シアク,#15C444,非承認国家,公国,,,スマトラ,北スマトラ,False,,,,
ポンティアナック,#FF6666,非承認国家,公国,,,ボルネオ,西ボルネオ,False,,,,
サンバス,#6666FF,非承認国家,公国,,,ボルネオ,西ボルネオ,False,,,,
ジャンビ,#DFE4C0,非承認国家,公国,,,スマトラ,北スマトラ,False,,,,
ジョクジャカルタ,#C91C36,非承認国家,公国,,,ジャワ,中央ジャワ,False,,,,
スラカルタ,#EF3340,非承認国家,公国,,,ジャワ,中央ジャワ,False,,,,
ブトゥン,#D1CB1F,非承認国家,公国,,,モルッカ,セレベス,False,,,,
セランゴール,#F9D73D,非承認国家,公国,,,マレー,マラヤ,False,,,,
ペラ,#4C7A75,非承認国家,公国,,,マレー,マラヤ,False,,,,
スールー,#59A490,非承認国家,公国,,,モロ,ミンダナオ,False,,,,
スラウェシ,#990000,分権型国家,公国,,,モルッカ,セレベス,False,,,,
ティドレ,#B0E840,非承認国家,公国,,,モルッカ,モルッカ,False,,,,
シンタン,#FFFF00,非承認国家,公国,,,ボルネオ,西ボルネオ,False,,,,
バンジャール,#ABAF28,非承認国家,公国,,,ボルネオ,東ボルネオ,False,,,,
インドネシア,#008080,承認国,帝国,,,"バリ, バタク, ボルネオ, ダヤク, ジャワ, マレー, モルッカ, スマトラ",西ジャワ,False,,,,
マギンダナオ,#77201D,非承認国家,公国,,,モロ,ミンダナオ,False,,,,
台湾原住民,#612C60,非承認国家,公国,,,台湾原住民,台湾,False,,,,
ポリネシア,#F48C1E,非承認国家,帝国,,,"ハワイ, マオリ, メラネシア, ポリネシア, ミクロネシア, 台湾原住民",ハワイ諸島,False,,,,
ワティ,#367010,分権型国家,公国,,,アボリジニ,西オーストラリア,False,,,,
ミルニング,#0371D3,分権型国家,公国,,,アボリジニ,西オーストラリア,False,,,,
ミンダナオ,#FFFFCC,分権型国家,公国,,,ルマッド,ミンダナオ,False,,,,
